Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,,,,
2017-18,10,Victoria," 147,343 "," 151,549 "," 411,751 "," 417,801 "," 559,094 "," 569,350 ",,,,
2017-18,10,Waterloo & City," 8,971 "," 9,159 "," 15,011 "," 15,081 "," 23,981 "," 24,240 ",,,,
2017-18,11,Bakerloo," 73,250 "," 75,746 "," 216,100 "," 220,970 "," 289,350 "," 296,716 ",,,,
2017-18,11,C&H," 71,142 "," 76,038 "," 235,953 "," 249,107 "," 307,095 "," 325,145 ",,,,
2017-18,11,Central," 258,095 "," 279,852 "," 758,372 "," 782,404 "," 1,016,467 "," 1,062,256 ",,,,
2017-18,11,District," 197,745 "," 209,183 "," 577,481 "," 592,377 "," 775,226 "," 801,560 ",,,,
2017-18,11,Jubilee," 216,769 "," 221,893 "," 633,856 "," 642,937 "," 850,625 "," 864,830 ",,,,
2017-18,11,Metropolitan," 166,729 "," 171,611 "," 443,589 "," 449,454 "," 610,318 "," 621,065 ",,,,
2017-18,11,Northern," 296,292 "," 300,409 "," 887,618 "," 890,824 "," 1,183,910 "," 1,191,233 ",,,,
2017-18,11,Piccadilly," 231,148 "," 245,593 "," 705,855 "," 749,187 "," 937,003 "," 994,780 ",,,,
2017-18,11,Victoria," 170,885 "," 175,116 "," 435,166 "," 440,244 "," 606,051 "," 615,360 ",,,,
2017-18,11,Waterloo & City," 10,444 "," 11,190 "," 17,413 "," 17,574 "," 27,858 "," 28,764 ",,,,
2017-18,12,Bakerloo," 71,569 "," 75,746 "," 214,432 "," 220,970 "," 286,000 "," 296,716 ",,,,
2017-18,12,C&H," 71,418 "," 76,014 "," 222,604 "," 235,381 "," 294,022 "," 311,395 ",,,,
2017-18,12,Central," 258,789 "," 279,852 "," 748,034 "," 782,404 "," 1,006,823 "," 1,062,256 ",,,,
2017-18,12,District," 195,729 "," 209,087 "," 547,465 "," 567,530 "," 743,193 "," 776,617 ",,,,
2017-18,12,Jubilee," 212,520 "," 221,883 "," 629,737 "," 642,965 "," 842,258 "," 864,848 ",,,,
2017-18,12,Metropolitan," 164,582 "," 171,671 "," 445,267 "," 457,602 "," 609,848 "," 629,273 ",,,,
2017-18,12,Northern," 297,620 "," 305,038 "," 883,041 "," 892,438 "," 1,180,660 "," 1,197,476 ",,,,
2017-18,12,Piccadilly," 223,495 "," 249,202 "," 685,015 "," 750,233 "," 908,511 "," 999,435 ",,,,
2017-18,12,Victoria," 166,802 "," 175,116 "," 428,167 "," 440,244 "," 594,969 "," 615,360 ",,,,
2017-18,12,Waterloo & City," 10,580 "," 11,190 "," 17,383 "," 17,574 "," 27,963 "," 28,764 ",,,,
2017-18,13,Bakerloo," 72,769 "," 75,457 "," 211,983 "," 217,564 "," 284,752 "," 293,021 ",,,,
2017-18,13,C&H," 72,493 "," 76,026 "," 221,803 "," 232,569 "," 294,296 "," 308,595 ",,,,
2017-18,13,Central," 260,919 "," 278,361 "," 746,072 "," 781,930 "," 1,006,991 "," 1,060,291 ",,,,
2017-18,13,District," 197,720 "," 207,792 "," 575,903 "," 594,065 "," 773,623 "," 801,857 ",,,,
2017-18,13,Jubilee," 209,353 "," 220,485 "," 630,080 "," 642,584 "," 839,433 "," 863,069 ",,,,
2017-18,13,Metropolitan," 164,578 "," 169,669 "," 424,640 "," 432,464 "," 589,219 "," 602,133 ",,,,
2017-18,13,Northern," 291,460 "," 294,516 "," 840,931 "," 846,008 "," 1,132,391 "," 1,140,524 ",,,,
2017-18,13,Piccadilly," 231,920 "," 247,609 "," 702,602 "," 746,873 "," 934,522 "," 994,482 ",,,,
2017-18,13,Victoria," 166,910 "," 173,409 "," 431,989 "," 439,995 "," 598,899 "," 613,405 ",,,,
2017-18,13,Waterloo & City," 10,626 "," 10,891 "," 17,303 "," 17,402 "," 27,929 "," 28,293 ",,,,
2018-19,1,Bakerloo," 73,399 "," 75,467 "," 214,471 "," 220,921 "," 287,870 "," 296,388 ",,,,
2018-19,1,C&H," 70,914 "," 76,028 "," 250,326 "," 264,639 "," 321,240 "," 340,667 ",,,,
2018-19,1,Central," 268,116 "," 278,345 "," 757,585 "," 782,283 "," 1,025,701 "," 1,060,628 ",,,,
2018-19,1,District," 194,011 "," 207,786 "," 572,742 "," 588,516 "," 766,753 "," 796,302 ",,,,
2018-19,1,Jubilee," 209,244 "," 220,505 "," 612,897 "," 642,906 "," 822,141 "," 863,411 ",,,,
2018-19,1,Metropolitan," 163,772 "," 169,531 "," 439,952 "," 450,807 "," 603,724 "," 620,338 ",,,,
2018-19,1,Northern," 287,504 "," 294,610 "," 841,120 "," 851,328 "," 1,128,624 "," 1,145,938 ",,,,
2018-19,1,Piccadilly," 230,437 "," 247,619 "," 711,716 "," 747,460 "," 942,154 "," 995,079 ",,,,
2018-19,1,Victoria," 170,138 "," 173,421 "," 438,764 "," 440,239 "," 608,902 "," 613,660 ",,,,
2018-19,1,Waterloo & City," 10,481 "," 10,894 "," 17,219 "," 17,399 "," 27,700 "," 28,293 ",,,,
2018-19,2,Bakerloo," 72,093 "," 75,467 "," 210,724 "," 215,468 "," 282,817 "," 290,935 ",,,,
2018-19,2,C&H," 69,485 "," 73,079 "," 209,725 "," 217,655 "," 279,210 "," 290,734 ",,,,
2018-19,2,Central," 266,006 "," 278,345 "," 756,745 "," 782,283 "," 1,022,751 "," 1,060,628 ",,,,
2018-19,2,District," 196,139 "," 204,961 "," 539,335 "," 549,351 "," 735,474 "," 754,312 ",,,,
2018-19,2,Jubilee," 217,280 "," 220,410 "," 636,962 "," 644,591 "," 854,242 "," 865,001 ",,,,
2018-19,2,Metropolitan," 165,398 "," 169,055 "," 442,358 "," 447,144 "," 607,757 "," 616,199 ",,,,
2018-19,2,Northern," 298,763 "," 303,367 "," 856,645 "," 862,044 "," 1,155,408 "," 1,165,411 ",,,,
2018-19,2,Piccadilly," 237,547 "," 247,635 "," 712,390 "," 749,950 "," 949,936 "," 997,585 ",,,,
2018-19,2,Victoria," 169,195 "," 173,421 "," 433,499 "," 440,239 "," 602,694 "," 613,660 ",,,,
2018-19,2,Waterloo & City," 9,997 "," 10,817 "," 17,173 "," 17,382 "," 27,170 "," 28,199 ",,,,
2018-19,3,Bakerloo," 71,295 "," 75,468 "," 214,432 "," 220,923 "," 285,727 "," 296,392 ",,,,
2018-19,3,C&H," 73,125 "," 76,036 "," 236,865 "," 251,416 "," 309,991 "," 327,452 ",,,,
2018-19,3,Central," 256,688 "," 278,345 "," 742,888 "," 782,283 "," 999,576 "," 1,060,628 ",,,,
2018-19,3,District," 199,312 "," 207,780 "," 585,690 "," 592,826 "," 785,002 "," 800,606 ",,,,
2018-19,3,Jubilee," 218,365 "," 220,371 "," 642,828 "," 650,662 "," 861,193 "," 871,033 ",,,,
2018-19,3,Metropolitan," 164,574 "," 170,143 "," 440,413 "," 446,774 "," 604,987 "," 616,917 ",,,,
2018-19,3,Northern," 289,229 "," 293,116 "," 812,544 "," 819,960 "," 1,101,773 "," 1,113,076 ",,,,
2018-19,3,Piccadilly," 235,577 "," 247,635 "," 715,785 "," 749,955 "," 951,362 "," 997,590 ",,,,
2018-19,3,Victoria," 164,082 "," 173,421 "," 424,411 "," 440,239 "," 588,494 "," 613,660 ",,,,
2018-19,3,Waterloo & City," 9,966 "," 10,590 "," 17,171 "," 17,327 "," 27,138 "," 27,917 ",,,,
2018-19,4,Bakerloo," 73,105 "," 75,746 "," 214,626 "," 220,971 "," 287,732 "," 296,717 ",,,,
2018-19,4,C&H," 71,955 "," 76,043 "," 227,175 "," 243,683 "," 299,130 "," 319,726 ",,,,
2018-19,4,Central," 262,237 "," 279,852 "," 751,597 "," 782,404 "," 1,013,834 "," 1,062,256 ",,,,
2018-19,4,District," 200,150 "," 209,195 "," 549,079 "," 569,128 "," 749,230 "," 778,323 ",,,,
2018-19,4,Jubilee," 217,110 "," 221,583 "," 614,693 "," 623,299 "," 831,803 "," 844,882 ",,,,
2018-19,4,Metropolitan," 167,563 "," 171,542 "," 398,577 "," 406,358 "," 566,140 "," 577,900 ",,,,
2018-19,4,Northern," 300,704 "," 303,993 "," 857,487 "," 859,955 "," 1,158,190 "," 1,163,948 ",,,,
2018-19,4,Piccadilly," 232,915 "," 249,432 "," 712,586 "," 750,315 "," 945,501 "," 999,747 ",,,,
2018-19,4,Victoria," 170,413 "," 175,116 "," 435,416 "," 440,244 "," 605,829 "," 615,360 ",,,,
2018-19,4,Waterloo & City," 10,513 "," 10,886 "," 17,406 "," 17,502 "," 27,918 "," 28,388 ",,,,
2018-19,5,Bakerloo," 72,634 "," 75,746 "," 202,943 "," 206,991 "," 275,577 "," 282,737 ",,,,
2018-19,5,C&H," 72,778 "," 76,019 "," 241,081 "," 252,808 "," 313,859 "," 328,827 ",,,,
2018-19,5,Central," 266,382 "," 279,856 "," 756,239 "," 782,412 "," 1,022,621 "," 1,062,268 ",,,,
2018-19,5,District," 196,736 "," 209,129 "," 547,008 "," 568,945 "," 743,743 "," 778,074 ",,,,
2018-19,5,Jubilee," 213,518 "," 221,549 "," 628,781 "," 649,950 "," 842,299 "," 871,499 ",,,,
2018-19,5,Metropolitan," 167,232 "," 171,535 "," 416,459 "," 428,178 "," 583,692 "," 599,713 ",,,,
2018-19,5,Northern," 299,842 "," 303,993 "," 853,141 "," 859,955 "," 1,152,983 "," 1,163,948 ",,,,
2018-19,5,Piccadilly," 231,908 "," 249,615 "," 704,610 "," 749,851 "," 936,518 "," 999,466 ",,,,
2018-19,5,Victoria," 168,548 "," 175,116 "," 436,310 "," 440,244 "," 604,857 "," 615,360 ",,,,
2018-19,5,Waterloo & City," 10,618 "," 11,116 "," 17,444 "," 17,554 "," 28,062 "," 28,670 ",,,,
2018-19,6,Bakerloo," 71,880 "," 75,481 "," 197,880 "," 200,946 "," 269,760 "," 276,427 ",,,,
2018-19,6,C&H," 74,292 "," 76,031 "," 230,531 "," 244,696 "," 304,824 "," 320,727 ",,,,
2018-19,6,Central," 268,650 "," 277,200 "," 724,475 "," 739,389 "," 993,125 "," 1,016,589 ",,,,
2018-19,6,District," 202,883 "," 206,527 "," 570,514 "," 587,087 "," 773,397 "," 793,614 ",,,,
2018-19,6,Jubilee," 216,604 "," 220,406 "," 635,495 "," 650,304 "," 852,099 "," 870,710 ",,,,
2018-19,6,Metropolitan," 167,587 "," 169,651 "," 428,838 "," 436,535 "," 596,425 "," 606,186 ",,,,
2018-19,6,Northern," 294,347 "," 301,891 "," 853,211 "," 859,725 "," 1,147,558 "," 1,161,615 ",,,,
2018-19,6,Piccadilly," 237,397 "," 247,655 "," 726,827 "," 750,290 "," 964,224 "," 997,945 ",,,,
2018-19,6,Victoria," 167,666 "," 173,432 "," 437,917 "," 440,228 "," 605,584 "," 613,660 ",,,,
2018-19,6,Waterloo & City," 10,522 "," 10,907 "," 17,317 "," 17,386 "," 27,839 "," 28,293 ",,,,
2018-19,7,Bakerloo," 70,831 "," 76,315 "," 214,273 "," 221,895 "," 285,104 "," 298,210 ",,,,
2018-19,7,C&H," 67,771 "," 72,323 "," 202,421 "," 215,321 "," 270,192 "," 287,643 ",,,,
2018-19,7,Central," 251,392 "," 279,998 "," 737,103 "," 779,999 "," 988,495 "," 1,059,997 ",,,,
2018-19,7,District," 197,709 "," 209,915 "," 544,025 "," 559,857 "," 741,734 "," 769,772 ",,,,
2018-19,7,Jubilee," 216,092 "," 222,658 "," 638,914 "," 650,555 "," 855,006 "," 873,213 ",,,,
2018-19,7,Metropolitan," 171,664 "," 174,316 "," 428,600 "," 441,345 "," 600,265 "," 615,661 ",,,,
2018-19,7,Northern," 302,014 "," 303,754 "," 863,436 "," 862,957 "," 1,165,450 "," 1,166,711 ",,,,
2018-19,7,Piccadilly," 182,671 "," 251,321 "," 599,181 "," 744,151 "," 781,852 "," 995,473 ",,,,
2018-19,7,Victoria," 167,966 "," 175,285 "," 422,739 "," 438,989 "," 590,705 "," 614,274 ",,,,
2018-19,7,Waterloo & City," 10,217 "," 11,087 "," 16,865 "," 17,730 "," 27,082 "," 28,818 ",,,,
2018-19,8,Bakerloo," 73,868 "," 75,857 "," 215,016 "," 217,628 "," 288,883 "," 293,484 ",,,,
2018-19,8,C&H," 70,957 "," 75,760 "," 222,324 "," 236,038 "," 293,282 "," 311,798 ",,,,
2018-19,8,Central," 257,589 "," 279,760 "," 742,954 "," 782,276 "," 1,000,542 "," 1,062,036 ",,,,
2018-19,8,District," 199,378 "," 208,529 "," 553,767 "," 564,087 "," 753,145 "," 772,616 ",,,,
2018-19,8,Jubilee," 205,907 "," 221,374 "," 624,220 "," 650,487 "," 830,127 "," 871,860 ",,,,
2018-19,8,Metropolitan," 162,726 "," 171,789 "," 435,757 "," 451,308 "," 598,483 "," 623,097 ",,,,
2018-19,8,Northern," 298,531 "," 304,841 "," 890,349 "," 892,062 "," 1,188,880 "," 1,196,904 ",,,,
2018-19,8,Piccadilly," 232,390 "," 246,220 "," 708,774 "," 747,949 "," 941,164 "," 994,169 ",,,,
2018-19,8,Victoria," 163,644 "," 175,132 "," 430,227 "," 440,266 "," 593,871 "," 615,398 ",,,,
2018-19,8,Waterloo & City," 10,463 "," 11,248 "," 16,645 "," 17,518 "," 27,108 "," 28,766 ",,,,
2018-19,9,Bakerloo," 74,858 "," 76,129 "," 219,385 "," 221,616 "," 294,243 "," 297,745 ",,,,
2018-19,9,C&H," 67,639 "," 75,600 "," 237,416 "," 267,100 "," 305,055 "," 342,700 ",,,,
2018-19,9,Central," 270,634 "," 279,741 "," 760,729 "," 781,649 "," 1,031,363 "," 1,061,389 ",,,,
2018-19,9,District," 201,462 "," 209,731 "," 594,591 "," 601,423 "," 796,053 "," 811,154 ",,,,
2018-19,9,Jubilee," 211,495 "," 222,225 "," 638,194 "," 651,777 "," 849,689 "," 874,002 ",,,,
2018-19,9,Metropolitan," 169,379 "," 175,295 "," 450,711 "," 461,855 "," 620,090 "," 637,150 ",,,,
2018-19,9,Northern," 301,352 "," 304,431 "," 888,194 "," 890,077 "," 1,189,546 "," 1,194,509 ",,,,
2018-19,9,Piccadilly," 221,096 "," 248,231 "," 685,725 "," 752,523 "," 906,821 "," 1,000,753 ",,,,
2018-19,9,Victoria," 167,711 "," 175,142 "," 432,536 "," 439,957 "," 600,248 "," 615,099 ",,,,
2018-19,9,Waterloo & City," 10,737 "," 11,302 "," 17,335 "," 17,597 "," 28,073 "," 28,899 ",,,,
2018-19,10,Bakerloo," 65,828 "," 67,672 "," 203,568 "," 209,405 "," 269,396 "," 277,077 ",,,,
2018-19,10,C&H," 67,279 "," 69,860 "," 234,314 "," 250,586 "," 301,593 "," 320,446 ",,,,
2018-19,10,Central," 238,138 "," 244,478 "," 723,529 "," 740,004 "," 961,667 "," 984,482 ",,,,
2018-19,10,District," 179,711 "," 183,548 "," 547,670 "," 556,649 "," 727,381 "," 740,197 ",,,,
2018-19,10,Jubilee," 186,958 "," 196,525 "," 598,672 "," 617,582 "," 785,630 "," 814,107 ",,,,
2018-19,10,Metropolitan," 151,535 "," 151,981 "," 433,684 "," 438,422 "," 585,219 "," 590,403 ",,,,
2018-19,10,Northern," 267,006 "," 269,227 "," 841,346 "," 844,554 "," 1,108,352 "," 1,113,781 ",,,,
2018-19,10,Piccadilly," 208,088 "," 220,727 "," 674,350 "," 717,959 "," 882,438 "," 938,686 ",,,,
2018-19,10,Victoria," 146,406 "," 150,005 "," 413,298 "," 415,822 "," 559,704 "," 565,827 ",,,,
2018-19,10,Waterloo & City," 8,812 "," 9,488 "," 14,991 "," 15,853 "," 23,803 "," 25,341 ",,,,
2018-19,11,Bakerloo," 74,156 "," 76,220 "," 213,601 "," 216,268 "," 287,757 "," 292,488 ",,,,
2018-19,11,C&H," 70,823 "," 75,580 "," 243,755 "," 262,165 "," 314,578 "," 337,745 ",,,,
2018-19,11,Central," 266,465 "," 279,780 "," 764,200 "," 781,800 "," 1,030,665 "," 1,061,580 ",,,,
2018-19,11,District," 204,398 "," 210,060 "," 589,499 "," 593,369 "," 793,897 "," 803,429 ",,,,
2018-19,11,Jubilee," 216,271 "," 222,560 "," 642,723 "," 652,552 "," 858,994 "," 875,112 ",,,,
2018-19,11,Metropolitan," 172,264 "," 176,220 "," 476,882 "," 483,936 "," 649,146 "," 660,156 ",,,,
2018-19,11,Northern," 296,285 "," 304,360 "," 887,496 "," 889,884 "," 1,183,781 "," 1,194,244 ",,,,
2018-19,11,Piccadilly," 235,734 "," 251,610 "," 717,397 "," 756,218 "," 953,131 "," 1,007,828 ",,,,
2018-19,11,Victoria," 167,645 "," 175,160 "," 435,040 "," 440,000 "," 602,685 "," 615,160 ",,,,
2018-19,11,Waterloo & City," 11,160 "," 11,320 "," 17,383 "," 17,624 "," 28,543 "," 28,944 ",,,,
2018-19,12,Bakerloo," 73,674 "," 76,220 "," 209,890 "," 218,561 "," 283,564 "," 294,781 ",,,,
2018-19,12,C&H," 71,193 "," 75,580 "," 235,480 "," 254,473 "," 306,673 "," 330,053 ",,,,
2018-19,12,Central," 271,634 "," 279,780 "," 757,191 "," 781,800 "," 1,028,825 "," 1,061,580 ",,,,
2018-19,12,District," 201,178 "," 210,060 "," 590,525 "," 600,332 "," 791,703 "," 810,392 ",,,,
2018-19,12,Jubilee," 217,062 "," 222,560 "," 634,861 "," 652,552 "," 851,923 "," 875,112 ",,,,
2018-19,12,Metropolitan," 170,886 "," 176,220 "," 475,991 "," 483,932 "," 646,877 "," 660,152 ",,,,
2018-19,12,Northern," 299,963 "," 304,360 "," 888,228 "," 889,884 "," 1,188,191 "," 1,194,244 ",,,,
2018-19,12,Piccadilly," 240,433 "," 252,080 "," 716,967 "," 753,729 "," 957,400 "," 1,005,809 ",,,,
2018-19,12,Victoria," 167,043 "," 175,160 "," 427,994 "," 440,000 "," 595,037 "," 615,160 ",,,,
2018-19,12,Waterloo & City," 10,925 "," 11,320 "," 17,384 "," 17,624 "," 28,309 "," 28,944 ",,,,
2018-19,13,Bakerloo," 73,742 "," 76,220 "," 224,802 "," 230,144 "," 298,544 "," 306,364 ",,,,
2018-19,13,C&H," 69,225 "," 75,580 "," 244,584 "," 276,360 "," 313,809 "," 351,940 ",,,,
2018-19,13,Central," 268,375 "," 279,780 "," 776,612 "," 812,433 "," 1,044,987 "," 1,092,213 ",,,,
2018-19,13,District," 202,878 "," 210,060 "," 598,934 "," 607,349 "," 801,812 "," 817,409 ",,,,
2018-19,13,Jubilee," 214,310 "," 222,560 "," 655,425 "," 679,754 "," 869,735 "," 902,314 ",,,,
2018-19,13,Metropolitan," 171,847 "," 176,220 "," 475,439 "," 484,888 "," 647,286 "," 661,108 ",,,,
2018-19,13,Northern," 299,735 "," 304,360 "," 921,528 "," 927,390 "," 1,221,263 "," 1,231,750 ",,,,
2018-19,13,Piccadilly," 241,760 "," 252,080 "," 760,649 "," 787,169 "," 1,002,409 "," 1,039,249 ",,,,
2018-19,13,Victoria," 171,404 "," 175,160 "," 445,714 "," 457,776 "," 617,118 "," 632,936 ",,,,
2018-19,13,Waterloo & City," 11,082 "," 11,320 "," 17,395 "," 17,624 "," 28,477 "," 28,944 ",,,,
2019-20,1,Bakerloo," 72,948 "," 75,784 "," 210,264 "," 213,717 "," 283,212 "," 289,501 ",,,,
2019-20,1,C&H," 64,477 "," 71,090 "," 201,069 "," 214,760 "," 265,546 "," 285,850 ",,,,
2019-20,1,Central," 259,849 "," 276,679 "," 669,206 "," 709,114 "," 929,055 "," 985,793 ",,,,
2019-20,1,District," 182,061 "," 192,192 "," 486,626 "," 498,718 "," 668,687 "," 690,910 ",,,,
2019-20,1,Jubilee," 211,848 "," 220,104 "," 617,686 "," 625,391 "," 829,534 "," 845,495 ",,,,
2019-20,1,Metropolitan," 169,853 "," 172,099 "," 446,505 "," 451,536 "," 616,358 "," 623,635 ",,,,
2019-20,1,Northern," 299,245 "," 301,124 "," 850,585 "," 851,680 "," 1,149,830 "," 1,152,804 ",,,,
2019-20,1,Piccadilly," 234,436 "," 248,368 "," 682,657 "," 724,494 "," 917,093 "," 972,862 ",,,,
2019-20,1,Victoria," 165,026 "," 171,762 "," 411,174 "," 421,807 "," 576,200 "," 593,569 ",,,,
2019-20,1,Waterloo & City," 10,500 "," 10,714 "," 17,090 "," 17,286 "," 27,590 "," 28,000 ",,,,
2019-20,2,Bakerloo," 69,441 "," 72,509 "," 189,606 "," 195,804 "," 259,047 "," 268,313 ",,,,
2019-20,2,C&H," 68,632 "," 73,751 "," 203,836 "," 223,421 "," 272,468 "," 297,172 ",,,,
2019-20,2,Central," 270,085 "," 277,857 "," 736,230 "," 758,324 "," 1,006,315 "," 1,036,181 ",,,,
2019-20,2,District," 194,061 "," 204,723 "," 525,126 "," 537,854 "," 719,187 "," 742,577 ",,,,
2019-20,2,Jubilee," 213,009 "," 221,332 "," 638,014 "," 651,611 "," 851,023 "," 872,943 ",,,,
2019-20,2,Metropolitan," 169,674 "," 174,161 "," 455,024 "," 467,874 "," 624,698 "," 642,035 ",,,,
2019-20,2,Northern," 300,018 "," 302,742 "," 881,238 "," 889,679 "," 1,181,256 "," 1,192,421 ",,,,
2019-20,2,Piccadilly," 240,845 "," 250,224 "," 708,477 "," 737,616 "," 949,322 "," 987,840 ",,,,
2019-20,2,Victoria," 162,921 "," 173,465 "," 424,590 "," 439,996 "," 587,511 "," 613,461 ",,,,
2019-20,2,Waterloo & City," 10,368 "," 11,018 "," 17,223 "," 17,454 "," 27,591 "," 28,472 ",,,,
2019-20,3,Bakerloo," 72,797 "," 76,310 "," 215,469 "," 221,505 "," 288,266 "," 297,815 ",,,,
2019-20,3,C&H," 68,569 "," 75,581 "," 233,064 "," 257,526 "," 301,633 "," 333,107 ",,,,
2019-20,3,Central," 264,776 "," 277,857 "," 733,946 "," 767,311 "," 998,722 "," 1,045,168 ",,,,
2019-20,3,District," 195,940 "," 205,577 "," 521,999 "," 533,452 "," 717,939 "," 739,029 ",,,,
2019-20,3,Jubilee," 210,839 "," 221,332 "," 604,042 "," 620,258 "," 814,881 "," 841,590 ",,,,
2019-20,3,Metropolitan," 169,208 "," 174,161 "," 456,565 "," 473,823 "," 625,773 "," 647,984 ",,,,
2019-20,3,Northern," 300,983 "," 302,742 "," 886,777 "," 889,679 "," 1,187,760 "," 1,192,421 ",,,,
2019-20,3,Piccadilly," 232,082 "," 245,156 "," 685,423 "," 730,306 "," 917,505 "," 975,462 ",,,,
2019-20,3,Victoria," 165,389 "," 173,465 "," 423,558 "," 439,996 "," 588,947 "," 613,461 ",,,,
2019-20,3,Waterloo & City," 10,824 "," 11,018 "," 17,251 "," 17,454 "," 28,075 "," 28,472 ",,,,
2019-20,4,Bakerloo," 72,248 "," 76,620 "," 205,396 "," 222,306 "," 277,644 "," 298,926 ",,,,
2019-20,4,C&H," 69,686 "," 75,580 "," 219,026 "," 238,964 "," 288,712 "," 314,544 ",,,,
2019-20,4,Central," 265,930 "," 279,340 "," 732,978 "," 772,813 "," 998,908 "," 1,052,153 ",,,,
2019-20,4,District," 198,402 "," 210,050 "," 567,517 "," 577,389 "," 765,919 "," 787,439 ",,,,
2019-20,4,Jubilee," 216,398 "," 222,560 "," 639,090 "," 652,552 "," 855,488 "," 875,112 ",,,,
2019-20,4,Metropolitan," 169,762 "," 176,220 "," 443,878 "," 460,104 "," 613,640 "," 636,324 ",,,,
2019-20,4,Northern," 288,818 "," 304,360 "," 853,156 "," 889,884 "," 1,141,974 "," 1,194,244 ",,,,
2019-20,4,Piccadilly," 235,973 "," 252,080 "," 699,547 "," 755,720 "," 935,520 "," 1,007,800 ",,,,
2019-20,4,Victoria," 168,601 "," 175,160 "," 430,662 "," 440,000 "," 599,263 "," 615,160 ",,,,
2019-20,4,Waterloo & City," 10,926 "," 11,320 "," 17,534 "," 17,624 "," 28,460 "," 28,944 ",,,,
2019-20,5,Bakerloo," 72,617 "," 76,620 "," 207,373 "," 219,044 "," 279,990 "," 295,664 ",,,,
2019-20,5,C&H," 70,178 "," 75,580 "," 219,178 "," 237,792 "," 289,356 "," 313,372 ",,,,
2019-20,5,Central," 263,638 "," 279,340 "," 720,694 "," 759,654 "," 984,332 "," 1,038,994 ",,,,
2019-20,5,District," 201,740 "," 210,060 "," 585,884 "," 600,280 "," 787,624 "," 810,340 ",,,,
2019-20,5,Jubilee," 209,554 "," 222,560 "," 630,598 "," 652,552 "," 840,152 "," 875,112 ",,,,
2019-20,5,Metropolitan," 167,183 "," 176,209 "," 428,852 "," 451,353 "," 596,035 "," 627,562 ",,,,
2019-20,5,Northern," 296,047 "," 304,360 "," 883,802 "," 889,884 "," 1,179,849 "," 1,194,244 ",,,,
2019-20,5,Piccadilly," 232,674 "," 252,080 "," 698,740 "," 755,720 "," 931,414 "," 1,007,800 ",,,,
2019-20,5,Victoria," 167,064 "," 175,160 "," 429,147 "," 440,000 "," 596,211 "," 615,160 ",,,,
2019-20,5,Waterloo & City," 10,952 "," 11,320 "," 17,031 "," 17,624 "," 27,983 "," 28,944 ",,,,
2019-20,6,Bakerloo," 72,123 "," 76,310 "," 210,276 "," 222,254 "," 282,399 "," 298,564 ",,,,
2019-20,6,C&H," 69,963 "," 75,580 "," 228,668 "," 247,595 "," 298,631 "," 323,175 ",,,,
2019-20,6,Central," 256,638 "," 276,736 "," 722,285 "," 770,220 "," 978,923 "," 1,046,956 ",,,,
2019-20,6,District," 204,370 "," 208,662 "," 563,339 "," 576,658 "," 767,709 "," 785,320 ",,,,
2019-20,6,Jubilee," 212,404 "," 221,332 "," 631,954 "," 652,247 "," 844,358 "," 873,579 ",,,,
2019-20,6,Metropolitan," 160,072 "," 173,231 "," 409,200 "," 446,535 "," 569,272 "," 619,766 ",,,,
2019-20,6,Northern," 290,310 "," 302,742 "," 871,213 "," 889,679 "," 1,161,523 "," 1,192,421 ",,,,
2019-20,6,Piccadilly," 235,254 "," 249,710 "," 694,528 "," 743,930 "," 929,782 "," 993,640 ",,,,
2019-20,6,Victoria," 163,629 "," 173,465 "," 421,824 "," 439,996 "," 585,453 "," 613,461 ",,,,
2019-20,6,Waterloo & City," 10,740 "," 11,016 "," 17,121 "," 17,454 "," 27,861 "," 28,470 ",,,,
2019-20,7,Bakerloo," 72,341 "," 76,595 "," 211,850 "," 221,578 "," 284,191 "," 298,173 ",,,,
2019-20,7,C&H," 65,850 "," 75,580 "," 201,074 "," 223,726 "," 266,924 "," 299,306 ",,,,
2019-20,7,Central," 262,037 "," 279,340 "," 746,378 "," 781,800 "," 1,008,415 "," 1,061,140 ",,,,
2019-20,7,District," 192,873 "," 210,080 "," 537,856 "," 561,186 "," 730,729 "," 771,266 ",,,,
2019-20,7,Jubilee," 209,769 "," 222,560 "," 627,299 "," 652,552 "," 837,068 "," 875,112 ",,,,
2019-20,7,Metropolitan," 160,259 "," 176,306 "," 417,724 "," 443,591 "," 577,983 "," 619,897 ",,,,
2019-20,7,Northern," 295,808 "," 304,360 "," 876,670 "," 889,884 "," 1,172,478 "," 1,194,244 ",,,,
2019-20,7,Piccadilly," 237,401 "," 247,863 "," 711,494 "," 749,203 "," 948,895 "," 997,066 ",,,,
2019-20,7,Victoria," 163,886 "," 175,160 "," 425,608 "," 439,683 "," 589,494 "," 614,843 ",,,,
2019-20,7,Waterloo & City," 10,948 "," 11,320 "," 17,350 "," 17,624 "," 28,298 "," 28,944 ",,,,
2019-20,8,Bakerloo," 68,726 "," 73,782 "," 197,798 "," 214,422 "," 266,524 "," 288,204 ",,,,
2019-20,8,C&H," 67,879 "," 75,580 "," 211,922 "," 239,513 "," 279,801 "," 315,093 ",,,,
2019-20,8,Central," 262,177 "," 279,340 "," 743,518 "," 782,008 "," 1,005,695 "," 1,061,348 ",,,,
