"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2020 to Mar 2021 (Period 12)","Avanti West Coast","4422","49","24","48.5","1.10","2.74"
"Apr 2020 to Mar 2021 (Period 13)","Avanti West Coast","3937","27","5","18.5","0.47","2.01"
"Apr 2021 to Mar 2022 (Period 01)","Avanti West Coast","5327","70","37","72.0","1.35","1.96"
"Apr 2021 to Mar 2022 (Period 02)","Avanti West Coast","5344","125","138","200.5","3.75","2.17"
"Apr 2021 to Mar 2022 (Period 03)","Avanti West Coast","6049","61","65","95.5","1.58","2.21"
"Apr 2021 to Mar 2022 (Period 04)","Avanti West Coast","6092","117","263","321.5","5.28","2.47"
"Apr 2021 to Mar 2022 (Period 05)","Avanti West Coast","4931","71","81","116.5","2.36","2.55"
"Apr 2021 to Mar 2022 (Period 06)","Avanti West Coast","6046","70","68","103.0","1.70","2.38"
"Apr 2021 to Mar 2022 (Period 07)","Avanti West Coast","6123","79","61","100.5","1.64","2.29"
"Apr 2021 to Mar 2022 (Period 08)","Avanti West Coast","6132","84","218","260.0","4.24","2.59"
"Apr 2021 to Mar 2022 (Period 09)","Avanti West Coast","6112","208","224","328.0","5.37","2.84"
"Apr 2021 to Mar 2022 (Period 10)","Avanti West Coast","6127","225","536","648.5","10.58","3.60"
"Apr 2021 to Mar 2022 (Period 11)","Avanti West Coast","5248","63","84","115.5","2.20","3.38"
"Apr 2021 to Mar 2022 (Period 12)","Avanti West Coast","5150","161","206","286.5","5.56","3.67"
"Apr 2021 to Mar 2022 (Period 13)","Avanti West Coast","5585","70","208","243.0","4.35","3.89"
"Apr 2022 to Mar 2023 (Period 01)","Avanti West Coast","6453","120","327","387.0","6.00","4.25"
"Apr 2022 to Mar 2023 (Period 02)","Avanti West Coast","6324","142","344","415.0","6.56","4.48"
"Apr 2022 to Mar 2023 (Period 03)","Avanti West Coast","5949","147","494","567.5","9.54","5.10"
"Apr 2022 to Mar 2023 (Period 04)","Avanti West Coast","6432","288","899","1043.0","16.22","6.02"
"Apr 2022 to Mar 2023 (Period 05)","Avanti West Coast","5226","235","658","775.5","14.84","6.86"
"Apr 2022 to Mar 2023 (Period 06)","Avanti West Coast","4773","121","246","306.5","6.42","7.24"
"Apr 2022 to Mar 2023 (Period 07)","Avanti West Coast","4528","185","241","333.5","7.37","7.71"
"Apr 2022 to Mar 2023 (Period 08)","Avanti West Coast","4532","162","268","349.0","7.70","8.00"
"Apr 2022 to Mar 2023 (Period 09)","Avanti West Coast","4765","203","338","439.5","9.22","8.31"
"Apr 2022 to Mar 2023 (Period 10)","Avanti West Coast","4098","249","648","772.5","18.85","8.74"
"Apr 2022 to Mar 2023 (Period 11)","Avanti West Coast","6116","211","535","640.5","10.47","9.38"
"Apr 2022 to Mar 2023 (Period 12)","Avanti West Coast","7015","168","282","366.0","5.22","9.25"
"Apr 2022 to Mar 2023 (Period 13)","Avanti West Coast","6181","93","103","149.5","2.42","9.04"
"Apr 2023 to Mar 2024 (Period 01)","Avanti West Coast","6575","101","112","162.5","2.47","8.72"
"Apr 2023 to Mar 2024 (Period 02)","Avanti West Coast","6301","130","97","162.0","2.57","8.37"
"Apr 2023 to Mar 2024 (Period 03)","Avanti West Coast","6096","157","282","360.5","5.91","8.07"
"Apr 2023 to Mar 2024 (Period 04)","Avanti West Coast","5873","85","81","123.5","2.10","6.85"
"Apr 2023 to Mar 2024 (Period 05)","Avanti West Coast","6214","101","231","281.5","4.53","6.09"
"Apr 2023 to Mar 2024 (Period 06)","Avanti West Coast","5621","161","100","180.5","3.21","5.85"
"Apr 2023 to Mar 2024 (Period 07)","Avanti West Coast","6212","229","293","407.5","6.56","5.81"
"Apr 2023 to Mar 2024 (Period 08)","Avanti West Coast","6677","338","470","639.0","9.57","6.03"
"Apr 2023 to Mar 2024 (Period 09)","Avanti West Coast","6633","266","624","757.0","11.41","6.28"
"Apr 2023 to Mar 2024 (Period 10)","Avanti West Coast","5904","305","831","983.5","16.66","6.40"
"Apr 2023 to Mar 2024 (Period 11)","Avanti West Coast","6416","224","406","518.0","8.07","6.23"
"Apr 2023 to Mar 2024 (Period 12)","Avanti West Coast","6923","240","510","630.0","9.10","6.56"
"Apr 2023 to Mar 2024 (Period 13)","Avanti West Coast","6853","189","433","527.5","7.70","6.97"
"Apr 2024 to Mar 2025 (Period 01)","Avanti West Coast","6334","155","401","478.5","7.55","7.37"
"Apr 2024 to Mar 2025 (Period 02)","Avanti West Coast","6243","251","240","365.5","5.85","7.63"
"Apr 2024 to Mar 2025 (Period 03)","Avanti West Coast","6919","260","572","702.0","10.15","7.96"
"Apr 2024 to Mar 2025 (Period 04)","Avanti West Coast","7077","185","356","448.5","6.34","8.23"
"Apr 2024 to Mar 2025 (Period 05)","Avanti West Coast","7032","203","303","404.5","5.75","8.30"
"Apr 2024 to Mar 2025 (Period 06)","Avanti West Coast","6639","192","237","333.0","5.02","8.38"
"Apr 2024 to Mar 2025 (Period 07)","Avanti West Coast","6636","246","270","393.0","5.92","8.32"
"Apr 2024 to Mar 2025 (Period 08)","Avanti West Coast","6915","141","225","295.5","4.27","7.90"
"Apr 2024 to Mar 2025 (Period 09)","Avanti West Coast","7092","222","496","607.0","8.56","7.69"
"Apr 2024 to Mar 2025 (Period 10)","Avanti West Coast","5669","216","385","493.0","8.70","7.14"
"Apr 2024 to Mar 2025 (Period 11)","Avanti West Coast","7222","271","389","524.5","7.26","7.08"
"Apr 2024 to Mar 2025 (Period 12)","Avanti West Coast","7124","158","222","301.0","4.23","6.69"
"Apr 2024 to Mar 2025 (Period 13)","Avanti West Coast","7799","135","165","232.5","2.98","6.29"
"Apr 2025 to Mar 2026 (Period 01)","Avanti West Coast","6527","92","90","136.0","2.08","5.89"
"Apr 2025 to Mar 2026 (Period 02)","Avanti West Coast","7143","195","194","291.5","4.08","5.75"
"Apr 2025 to Mar 2026 (Period 03)","Avanti West Coast","6799","197","190","288.5","4.24","5.30"
"Apr 2025 to Mar 2026 (Period 04)","Avanti West Coast","7650","356","321","499.0","6.52","5.32"
"Apr 2025 to Mar 2026 (Period 05)","Avanti West Coast","7184","156","225","303.0","4.22","5.20"
"Apr 2025 to Mar 2026 (Period 06)","Avanti West Coast","7295","126","153","216.0","2.96","5.03"
"Apr 2025 to Mar 2026 (Period 07)","Avanti West Coast","7879","207","267","370.5","4.70","4.94"
"Apr 2025 to Mar 2026 (Period 08)","Avanti West Coast","7903","308","330","484.0","6.12","5.09"
"Apr 2025 to Mar 2026 (Period 09)","Avanti West Coast","8131","347","628","801.5","9.86","5.24"
"Apr 2025 to Mar 2026 (Period 10)","Avanti West Coast","6934","241","422","542.5","7.82","5.22"
"Apr 2025 to Mar 2026 (Period 11)","Avanti West Coast","8356","302","556","707.0","8.46","5.35"
"Apr 2019 to Mar 2020 (Period 01)","c2c","9483","62","66","97.0","1.02","[z]"
"Apr 2019 to Mar 2020 (Period 02)","c2c","9924","70","89","124.0","1.25","[z]"
"Apr 2019 to Mar 2020 (Period 03)","c2c","9633","76","70","108.0","1.12","[z]"
"Apr 2019 to Mar 2020 (Period 04)","c2c","9644","103","113","164.5","1.71","[z]"
"Apr 2019 to Mar 2020 (Period 05)","c2c","8721","157","86","164.5","1.89","[z]"
"Apr 2019 to Mar 2020 (Period 06)","c2c","9474","86","60","103.0","1.09","[z]"
"Apr 2019 to Mar 2020 (Period 07)","c2c","9675","98","78","127.0","1.31","[z]"
"Apr 2019 to Mar 2020 (Period 08)","c2c","9842","142","134","205.0","2.08","[z]"
"Apr 2019 to Mar 2020 (Period 09)","c2c","9870","285","232","374.5","3.79","[z]"
"Apr 2019 to Mar 2020 (Period 10)","c2c","8438","136","79","147.0","1.74","[z]"
"Apr 2019 to Mar 2020 (Period 11)","c2c","9613","61","35","65.5","0.68","[z]"
"Apr 2019 to Mar 2020 (Period 12)","c2c","9763","98","102","151.0","1.55","[z]"
"Apr 2019 to Mar 2020 (Period 13)","c2c","9206","75","41","78.5","0.85","1.55"
"Apr 2020 to Mar 2021 (Period 01)","c2c","4825","13","13","19.5","0.40","1.54"
"Apr 2020 to Mar 2021 (Period 02)","c2c","6844","93","35","81.5","1.19","1.55"
"Apr 2020 to Mar 2021 (Period 03)","c2c","9417","79","54","93.5","0.99","1.54"
"Apr 2020 to Mar 2021 (Period 04)","c2c","9299","76","45","83.0","0.89","1.47"
"Apr 2020 to Mar 2021 (Period 05)","c2c","9588","95","64","111.5","1.16","1.42"
"Apr 2020 to Mar 2021 (Period 06)","c2c","9069","51","46","71.5","0.79","1.39"
