"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2024 to Mar 2025 (Period 11)","Chiltern Railways","8832","84","78","120.0","1.36","2.32"
"Apr 2024 to Mar 2025 (Period 12)","Chiltern Railways","8584","80","164","204.0","2.38","2.24"
"Apr 2024 to Mar 2025 (Period 13)","Chiltern Railways","9002","87","55","98.5","1.09","2.19"
"Apr 2025 to Mar 2026 (Period 01)","Chiltern Railways","7714","46","57","80.0","1.04","2.19"
"Apr 2025 to Mar 2026 (Period 02)","Chiltern Railways","8366","57","48","76.5","0.91","2.15"
"Apr 2025 to Mar 2026 (Period 03)","Chiltern Railways","8695","105","143","195.5","2.25","2.19"
"Apr 2025 to Mar 2026 (Period 04)","Chiltern Railways","8653","98","131","180.0","2.08","2.25"
"Apr 2025 to Mar 2026 (Period 05)","Chiltern Railways","8697","93","119","165.5","1.90","2.18"
"Apr 2025 to Mar 2026 (Period 06)","Chiltern Railways","8621","104","141","193.0","2.24","2.22"
"Apr 2025 to Mar 2026 (Period 07)","Chiltern Railways","8620","109","85","139.5","1.62","1.92"
"Apr 2025 to Mar 2026 (Period 08)","Chiltern Railways","8528","92","103","149.0","1.75","1.88"
"Apr 2025 to Mar 2026 (Period 09)","Chiltern Railways","8509","133","195","261.5","3.07","1.91"
"Apr 2025 to Mar 2026 (Period 10)","Chiltern Railways","7411","80","55","95.0","1.28","1.78"
"Apr 2025 to Mar 2026 (Period 11)","Chiltern Railways","8434","85","89","131.5","1.56","1.79"
"Apr 2019 to Mar 2020 (Period 01)","CrossCountry","7687","202","71","172.0","2.24","[z]"
"Apr 2019 to Mar 2020 (Period 02)","CrossCountry","7992","149","60","134.5","1.68","[z]"
"Apr 2019 to Mar 2020 (Period 03)","CrossCountry","7895","184","100","192.0","2.43","[z]"
"Apr 2019 to Mar 2020 (Period 04)","CrossCountry","7951","219","112","221.5","2.79","[z]"
"Apr 2019 to Mar 2020 (Period 05)","CrossCountry","7812","341","151","321.5","4.12","[z]"
"Apr 2019 to Mar 2020 (Period 06)","CrossCountry","7841","228","183","297.0","3.79","[z]"
"Apr 2019 to Mar 2020 (Period 07)","CrossCountry","8062","257","160","288.5","3.58","[z]"
"Apr 2019 to Mar 2020 (Period 08)","CrossCountry","8081","381","256","446.5","5.53","[z]"
"Apr 2019 to Mar 2020 (Period 09)","CrossCountry","8062","314","207","364.0","4.52","[z]"
"Apr 2019 to Mar 2020 (Period 10)","CrossCountry","7169","308","237","391.0","5.45","[z]"
"Apr 2019 to Mar 2020 (Period 11)","CrossCountry","7899","253","122","248.5","3.15","[z]"
"Apr 2019 to Mar 2020 (Period 12)","CrossCountry","7762","336","181","349.0","4.50","[z]"
"Apr 2019 to Mar 2020 (Period 13)","CrossCountry","7623","246","77","200.0","2.62","3.56"
"Apr 2020 to Mar 2021 (Period 01)","CrossCountry","4907","34","8","25.0","0.51","3.51"
"Apr 2020 to Mar 2021 (Period 02)","CrossCountry","4256","50","23","48.0","1.13","3.56"
"Apr 2020 to Mar 2021 (Period 03)","CrossCountry","4310","52","24","50.0","1.16","3.54"
"Apr 2020 to Mar 2021 (Period 04)","CrossCountry","4732","52","15","41.0","0.87","3.47"
"Apr 2020 to Mar 2021 (Period 05)","CrossCountry","4875","66","24","57.0","1.17","3.28"
"Apr 2020 to Mar 2021 (Period 06)","CrossCountry","4929","155","26","103.5","2.10","3.16"
"Apr 2020 to Mar 2021 (Period 07)","CrossCountry","5002","93","37","83.5","1.67","3.02"
"Apr 2020 to Mar 2021 (Period 08)","CrossCountry","4878","50","21","46.0","0.94","2.63"
"Apr 2020 to Mar 2021 (Period 09)","CrossCountry","4874","50","16","41.0","0.84","2.30"
"Apr 2020 to Mar 2021 (Period 10)","CrossCountry","4585","192","74","170.0","3.71","2.07"
"Apr 2020 to Mar 2021 (Period 11)","CrossCountry","4900","244","53","175.0","3.57","2.05"
"Apr 2020 to Mar 2021 (Period 12)","CrossCountry","5040","120","44","104.0","2.06","1.76"
"Apr 2020 to Mar 2021 (Period 13)","CrossCountry","4486","73","31","67.5","1.50","1.64"
"Apr 2021 to Mar 2022 (Period 01)","CrossCountry","5579","70","30","65.0","1.17","1.68"
"Apr 2021 to Mar 2022 (Period 02)","CrossCountry","5672","143","119","190.5","3.36","1.87"
"Apr 2021 to Mar 2022 (Period 03)","CrossCountry","6377","134","145","212.0","3.32","2.06"
"Apr 2021 to Mar 2022 (Period 04)","CrossCountry","6254","157","118","196.5","3.14","2.24"
"Apr 2021 to Mar 2022 (Period 05)","CrossCountry","6216","151","82","157.5","2.53","2.34"
"Apr 2021 to Mar 2022 (Period 06)","CrossCountry","6186","106","68","121.0","1.96","2.33"
"Apr 2021 to Mar 2022 (Period 07)","CrossCountry","6362","121","50","110.5","1.74","2.32"
"Apr 2021 to Mar 2022 (Period 08)","CrossCountry","6375","110","65","120.0","1.88","2.37"
"Apr 2021 to Mar 2022 (Period 09)","CrossCountry","5799","247","133","256.5","4.42","2.64"
"Apr 2021 to Mar 2022 (Period 10)","CrossCountry","4737","142","156","227.0","4.79","2.71"
"Apr 2021 to Mar 2022 (Period 11)","CrossCountry","5378","78","53","92.0","1.71","2.58"
"Apr 2021 to Mar 2022 (Period 12)","CrossCountry","5131","180","123","213.0","4.15","2.72"
"Apr 2021 to Mar 2022 (Period 13)","CrossCountry","5444","105","72","124.5","2.29","2.76"
"Apr 2022 to Mar 2023 (Period 01)","CrossCountry","5992","158","128","207.0","3.45","2.93"
"Apr 2022 to Mar 2023 (Period 02)","CrossCountry","5949","148","136","210.0","3.53","2.95"
"Apr 2022 to Mar 2023 (Period 03)","CrossCountry","5764","201","238","338.5","5.87","3.14"
"Apr 2022 to Mar 2023 (Period 04)","CrossCountry","6341","296","506","654.0","10.31","3.74"
"Apr 2022 to Mar 2023 (Period 05)","CrossCountry","5280","207","171","274.5","5.20","3.95"
"Apr 2022 to Mar 2023 (Period 06)","CrossCountry","6313","240","222","342.0","5.42","4.23"
"Apr 2022 to Mar 2023 (Period 07)","CrossCountry","5844","160","216","296.0","5.07","4.51"
"Apr 2022 to Mar 2023 (Period 08)","CrossCountry","6066","280","522","662.0","10.91","5.26"
"Apr 2022 to Mar 2023 (Period 09)","CrossCountry","6373","349","591","765.5","12.01","5.91"
"Apr 2022 to Mar 2023 (Period 10)","CrossCountry","3476","246","258","381.0","10.96","6.22"
"Apr 2022 to Mar 2023 (Period 11)","CrossCountry","6134","202","192","293.0","4.78","6.42"
"Apr 2022 to Mar 2023 (Period 12)","CrossCountry","6101","212","168","274.0","4.49","6.42"
"Apr 2022 to Mar 2023 (Period 13)","CrossCountry","5767","147","126","199.5","3.46","6.49"
"Apr 2023 to Mar 2024 (Period 01)","CrossCountry","6646","204","262","364.0","5.48","6.65"
"Apr 2023 to Mar 2024 (Period 02)","CrossCountry","6563","261","178","308.5","4.70","6.72"
"Apr 2023 to Mar 2024 (Period 03)","CrossCountry","5918","370","388","573.0","9.68","7.01"
"Apr 2023 to Mar 2024 (Period 04)","CrossCountry","5865","447","384","607.5","10.36","7.00"
"Apr 2023 to Mar 2024 (Period 05)","CrossCountry","6209","319","305","464.5","7.48","7.16"
"Apr 2023 to Mar 2024 (Period 06)","CrossCountry","5878","274","226","363.0","6.18","7.22"
"Apr 2023 to Mar 2024 (Period 07)","CrossCountry","5722","248","185","309.0","5.40","7.25"
"Apr 2023 to Mar 2024 (Period 08)","CrossCountry","6200","494","507","754.0","12.16","7.36"
"Apr 2023 to Mar 2024 (Period 09)","CrossCountry","6002","468","517","751.0","12.51","7.38"
"Apr 2023 to Mar 2024 (Period 10)","CrossCountry","6110","628","683","997.0","16.32","7.91"
"Apr 2023 to Mar 2024 (Period 11)","CrossCountry","6457","365","181","363.5","5.63","7.97"
"Apr 2023 to Mar 2024 (Period 12)","CrossCountry","6398","407","453","656.5","10.26","8.42"
"Apr 2023 to Mar 2024 (Period 13)","CrossCountry","6913","235","127","244.5","3.54","8.35"
"Apr 2024 to Mar 2025 (Period 01)","CrossCountry","6150","272","198","334.0","5.43","8.37"
"Apr 2024 to Mar 2025 (Period 02)","CrossCountry","6412","421","259","469.5","7.32","8.58"
"Apr 2024 to Mar 2025 (Period 03)","CrossCountry","6869","266","304","437.0","6.36","8.32"
"Apr 2024 to Mar 2025 (Period 04)","CrossCountry","7039","446","363","586.0","8.33","8.17"
"Apr 2024 to Mar 2025 (Period 05)","CrossCountry","6747","284","215","357.0","5.29","7.99"
"Apr 2024 to Mar 2025 (Period 06)","CrossCountry","6126","245","163","285.5","4.66","7.87"
"Apr 2024 to Mar 2025 (Period 07)","CrossCountry","6402","250","208","333.0","5.20","7.84"
"Apr 2024 to Mar 2025 (Period 08)","CrossCountry","6265","292","274","420.0","6.70","7.43"
"Apr 2024 to Mar 2025 (Period 09)","CrossCountry","6810","591","630","925.5","13.59","7.57"
"Apr 2024 to Mar 2025 (Period 10)","CrossCountry","6069","416","541","749.0","12.34","7.28"
"Apr 2024 to Mar 2025 (Period 11)","CrossCountry","6842","366","273","456.0","6.66","7.35"
"Apr 2024 to Mar 2025 (Period 12)","CrossCountry","7020","134","171","238.0","3.39","6.81"
"Apr 2024 to Mar 2025 (Period 13)","CrossCountry","7443","264","237","369.0","4.96","6.91"
"Apr 2025 to Mar 2026 (Period 01)","CrossCountry","6446","266","352","485.0","7.52","7.06"
"Apr 2025 to Mar 2026 (Period 02)","CrossCountry","7025","284","248","390.0","5.55","6.92"
"Apr 2025 to Mar 2026 (Period 03)","CrossCountry","7035","395","420","617.5","8.78","7.12"
"Apr 2025 to Mar 2026 (Period 04)","CrossCountry","6889","526","474","737.0","10.70","7.30"
"Apr 2025 to Mar 2026 (Period 05)","CrossCountry","6949","342","245","416.0","5.99","7.35"
"Apr 2025 to Mar 2026 (Period 06)","CrossCountry","6569","279","322","461.5","7.03","7.52"
"Apr 2025 to Mar 2026 (Period 07)","CrossCountry","7134","264","254","386.0","5.41","7.52"
"Apr 2025 to Mar 2026 (Period 08)","CrossCountry","7004","324","275","437.0","6.24","7.47"
"Apr 2025 to Mar 2026 (Period 09)","CrossCountry","7212","568","496","780.0","10.82","7.28"
"Apr 2025 to Mar 2026 (Period 10)","CrossCountry","6235","508","583","837.0","13.42","7.36"
"Apr 2025 to Mar 2026 (Period 11)","CrossCountry","7050","421","343","553.5","7.85","7.45"
"Apr 2019 to Mar 2020 (Period 01)","East Midlands Railway","12077","80","86","126.0","1.04","[z]"
"Apr 2019 to Mar 2020 (Period 02)","East Midlands Railway","12316","69","65","99.5","0.81","[z]"
"Apr 2019 to Mar 2020 (Period 03)","East Midlands Railway","12052","159","123","202.5","1.68","[z]"
"Apr 2019 to Mar 2020 (Period 04)","East Midlands Railway","12151","124","136","198.0","1.63","[z]"
"Apr 2019 to Mar 2020 (Period 05)","East Midlands Railway","11756","167","294","377.5","3.21","[z]"
"Apr 2019 to Mar 2020 (Period 06)","East Midlands Railway","12361","72","78","114.0","0.92","[z]"
"Apr 2019 to Mar 2020 (Period 07)","East Midlands Railway","12396","132","95","161.0","1.30","[z]"
"Apr 2019 to Mar 2020 (Period 08)","East Midlands Railway","12586","198","223","322.0","2.56","[z]"
"Apr 2019 to Mar 2020 (Period 09)","East Midlands Railway","12520","174","195","282.0","2.25","[z]"
"Apr 2019 to Mar 2020 (Period 10)","East Midlands Railway","11302","177","169","257.5","2.28","[z]"
"Apr 2019 to Mar 2020 (Period 11)","East Midlands Railway","12694","83","103","144.5","1.14","[z]"
"Apr 2019 to Mar 2020 (Period 12)","East Midlands Railway","12670","190","216","311.0","2.45","[z]"
"Apr 2019 to Mar 2020 (Period 13)","East Midlands Railway","12220","110","104","159.0","1.30","1.73"
"Apr 2020 to Mar 2021 (Period 01)","East Midlands Railway","8943","32","48","64.0","0.72","1.73"
"Apr 2020 to Mar 2021 (Period 02)","East Midlands Railway","8520","41","48","68.5","0.80","1.75"
"Apr 2020 to Mar 2021 (Period 03)","East Midlands Railway","9733","70","125","160.0","1.64","1.75"
"Apr 2020 to Mar 2021 (Period 04)","East Midlands Railway","9832","58","71","100.0","1.02","1.71"
"Apr 2020 to Mar 2021 (Period 05)","East Midlands Railway","9978","62","73","104.0","1.04","1.54"
"Apr 2020 to Mar 2021 (Period 06)","East Midlands Railway","11169","111","90","145.5","1.30","1.58"
"Apr 2020 to Mar 2021 (Period 07)","East Midlands Railway","12204","123","170","231.5","1.90","1.63"
"Apr 2020 to Mar 2021 (Period 08)","East Midlands Railway","11626","213","210","316.5","2.72","1.63"
"Apr 2020 to Mar 2021 (Period 09)","East Midlands Railway","11614","143","81","152.5","1.31","1.55"
"Apr 2020 to Mar 2021 (Period 10)","East Midlands Railway","10576","171","364","449.5","4.25","1.70"
"Apr 2020 to Mar 2021 (Period 11)","East Midlands Railway","10978","221","189","299.5","2.73","1.83"
"Apr 2020 to Mar 2021 (Period 12)","East Midlands Railway","10352","68","45","79.0","0.76","1.69"
"Apr 2020 to Mar 2021 (Period 13)","East Midlands Railway","9395","67","60","93.5","1.00","1.68"
"Apr 2021 to Mar 2022 (Period 01)","East Midlands Railway","12712","96","80","128.0","1.01","1.68"
"Apr 2021 to Mar 2022 (Period 02)","East Midlands Railway","12543","164","214","296.0","2.36","1.79"
"Apr 2021 to Mar 2022 (Period 03)","East Midlands Railway","13113","192","407","503.0","3.84","1.98"
"Apr 2021 to Mar 2022 (Period 04)","East Midlands Railway","12118","189","260","354.5","2.93","2.12"
"Apr 2021 to Mar 2022 (Period 05)","East Midlands Railway","12134","186","243","336.0","2.77","2.25"
"Apr 2021 to Mar 2022 (Period 06)","East Midlands Railway","11924","189","223","317.5","2.66","2.35"
"Apr 2021 to Mar 2022 (Period 07)","East Midlands Railway","12016","181","293","383.5","3.19","2.45"
"Apr 2021 to Mar 2022 (Period 08)","East Midlands Railway","12034","210","295","400.0","3.32","2.50"
"Apr 2021 to Mar 2022 (Period 09)","East Midlands Railway","11483","208","294","398.0","3.47","2.67"
"Apr 2021 to Mar 2022 (Period 10)","East Midlands Railway","11003","153","252","328.5","2.99","2.58"
"Apr 2021 to Mar 2022 (Period 11)","East Midlands Railway","12490","164","140","222.0","1.78","2.50"
"Apr 2021 to Mar 2022 (Period 12)","East Midlands Railway","12363","283","449","590.5","4.78","2.80"
"Apr 2021 to Mar 2022 (Period 13)","East Midlands Railway","11567","116","178","236.0","2.04","2.85"
"Apr 2022 to Mar 2023 (Period 01)","East Midlands Railway","13555","154","232","309.0","2.28","2.95"
"Apr 2022 to Mar 2023 (Period 02)","East Midlands Railway","12708","243","279","400.5","3.15","3.01"
"Apr 2022 to Mar 2023 (Period 03)","East Midlands Railway","11691","115","183","240.5","2.06","2.88"
"Apr 2022 to Mar 2023 (Period 04)","East Midlands Railway","12276","195","402","499.5","4.07","2.96"
"Apr 2022 to Mar 2023 (Period 05)","East Midlands Railway","11686","326","475","638.0","5.46","3.17"
"Apr 2022 to Mar 2023 (Period 06)","East Midlands Railway","12813","140","173","243.0","1.90","3.10"
"Apr 2022 to Mar 2023 (Period 07)","East Midlands Railway","11284","185","181","273.5","2.42","3.04"
"Apr 2022 to Mar 2023 (Period 08)","East Midlands Railway","11532","289","231","375.5","3.26","3.04"
"Apr 2022 to Mar 2023 (Period 09)","East Midlands Railway","11740","273","250","386.5","3.29","3.03"
"Apr 2022 to Mar 2023 (Period 10)","East Midlands Railway","7610","210","240","345.0","4.53","3.10"
"Apr 2022 to Mar 2023 (Period 11)","East Midlands Railway","11905","171","199","284.5","2.39","3.16"
"Apr 2022 to Mar 2023 (Period 12)","East Midlands Railway","12912","172","78","164.0","1.27","2.87"
"Apr 2022 to Mar 2023 (Period 13)","East Midlands Railway","11686","187","213","306.5","2.62","2.91"
"Apr 2023 to Mar 2024 (Period 01)","East Midlands Railway","13205","223","121","232.5","1.76","2.87"
"Apr 2023 to Mar 2024 (Period 02)","East Midlands Railway","12200","216","146","254.0","2.08","2.78"
"Apr 2023 to Mar 2024 (Period 03)","East Midlands Railway","11596","229","230","344.5","2.97","2.85"
"Apr 2023 to Mar 2024 (Period 04)","East Midlands Railway","12328","230","193","308.0","2.50","2.72"
"Apr 2023 to Mar 2024 (Period 05)","East Midlands Railway","12577","206","209","312.0","2.48","2.50"
"Apr 2023 to Mar 2024 (Period 06)","East Midlands Railway","12141","223","176","287.5","2.37","2.54"
"Apr 2023 to Mar 2024 (Period 07)","East Midlands Railway","11985","221","197","307.5","2.57","2.55"
"Apr 2023 to Mar 2024 (Period 08)","East Midlands Railway","12647","414","648","855.0","6.76","2.84"
"Apr 2023 to Mar 2024 (Period 09)","East Midlands Railway","12362","427","346","559.5","4.53","2.94"
"Apr 2023 to Mar 2024 (Period 10)","East Midlands Railway","12143","609","617","921.5","7.59","3.22"
"Apr 2023 to Mar 2024 (Period 11)","East Midlands Railway","12734","296","215","363.0","2.85","3.25"
"Apr 2023 to Mar 2024 (Period 12)","East Midlands Railway","13133","293","258","404.5","3.08","3.39"
"Apr 2023 to Mar 2024 (Period 13)","East Midlands Railway","13681","247","153","276.5","2.02","3.33"
"Apr 2024 to Mar 2025 (Period 01)","East Midlands Railway","12420","254","153","280.0","2.25","3.38"
"Apr 2024 to Mar 2025 (Period 02)","East Midlands Railway","12649","238","166","285.0","2.25","3.39"
"Apr 2024 to Mar 2025 (Period 03)","East Midlands Railway","13020","379","190","379.5","2.91","3.38"
"Apr 2024 to Mar 2025 (Period 04)","East Midlands Railway","13257","362","368","549.0","4.14","3.51"
"Apr 2024 to Mar 2025 (Period 05)","East Midlands Railway","13078","314","248","405.0","3.10","3.55"
"Apr 2024 to Mar 2025 (Period 06)","East Midlands Railway","13291","340","366","536.0","4.03","3.68"
"Apr 2024 to Mar 2025 (Period 07)","East Midlands Railway","13201","287","334","477.5","3.62","3.75"
"Apr 2024 to Mar 2025 (Period 08)","East Midlands Railway","13093","365","369","551.5","4.21","3.56"
"Apr 2024 to Mar 2025 (Period 09)","East Midlands Railway","13187","456","528","756.0","5.73","3.66"
"Apr 2024 to Mar 2025 (Period 10)","East Midlands Railway","11586","319","381","540.5","4.67","3.45"
"Apr 2024 to Mar 2025 (Period 11)","East Midlands Railway","13314","350","406","581.0","4.36","3.57"
"Apr 2024 to Mar 2025 (Period 12)","East Midlands Railway","13145","272","187","323.0","2.46","3.52"
"Apr 2024 to Mar 2025 (Period 13)","East Midlands Railway","13914","267","270","403.5","2.90","3.59"
"Apr 2025 to Mar 2026 (Period 01)","East Midlands Railway","12170","180","201","291.0","2.39","3.60"
"Apr 2025 to Mar 2026 (Period 02)","East Midlands Railway","13165","252","163","289.0","2.20","3.59"
"Apr 2025 to Mar 2026 (Period 03)","East Midlands Railway","12982","382","299","490.0","3.77","3.66"
"Apr 2025 to Mar 2026 (Period 04)","East Midlands Railway","12720","295","268","415.5","3.27","3.59"
"Apr 2025 to Mar 2026 (Period 05)","East Midlands Railway","13144","278","437","576.0","4.38","3.69"
"Apr 2025 to Mar 2026 (Period 06)","East Midlands Railway","13307","264","290","422.0","3.17","3.62"
"Apr 2025 to Mar 2026 (Period 07)","East Midlands Railway","13309","260","357","487.0","3.66","3.62"
"Apr 2025 to Mar 2026 (Period 08)","East Midlands Railway","13318","254","173","300.0","2.25","3.47"
"Apr 2025 to Mar 2026 (Period 09)","East Midlands Railway","13411","413","354","560.5","4.18","3.35"
"Apr 2025 to Mar 2026 (Period 10)","East Midlands Railway","12303","303","274","425.5","3.46","3.27"
"Apr 2025 to Mar 2026 (Period 11)","East Midlands Railway","13330","305","479","631.5","4.74","3.30"
"Apr 2019 to Mar 2020 (Period 01)","Elizabeth line","10653","63","80","111.5","1.05","[z]"
"Apr 2019 to Mar 2020 (Period 02)","Elizabeth line","10959","40","117","137.0","1.25","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Elizabeth line","11161","53","131","157.5","1.41","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Elizabeth line","11296","119","215","274.5","2.43","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Elizabeth line","11265","55","118","145.5","1.29","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Elizabeth line","11214","48","133","157.0","1.40","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Elizabeth line","11264","45","96","118.5","1.05","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Elizabeth line","11188","73","192","228.5","2.04","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Elizabeth line","11250","89","99","143.5","1.28","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Elizabeth line","10948","89","141","185.5","1.69","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Elizabeth line","13450","93","141","187.5","1.39","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Elizabeth line","12975","104","247","299.0","2.30","[z]"
"Apr 2019 to Mar 2020 (Period 13)","Elizabeth line","12795","124","171","233.0","1.82","1.58"
"Apr 2020 to Mar 2021 (Period 01)","Elizabeth line","11021","43","50","71.5","0.65","1.55"
"Apr 2020 to Mar 2021 (Period 02)","Elizabeth line","11254","171","74","159.5","1.42","1.56"
"Apr 2020 to Mar 2021 (Period 03)","Elizabeth line","12176","190","134","229.0","1.88","1.60"
"Apr 2020 to Mar 2021 (Period 04)","Elizabeth line","13645","60","84","114.0","0.84","1.47"
"Apr 2020 to Mar 2021 (Period 05)","Elizabeth line","13920","152","187","263.0","1.89","1.52"
"Apr 2020 to Mar 2021 (Period 06)","Elizabeth line","13764","95","127","174.5","1.27","1.51"
"Apr 2020 to Mar 2021 (Period 07)","Elizabeth line","13770","133","161","227.5","1.65","1.55"
"Apr 2020 to Mar 2021 (Period 08)","Elizabeth line","13346","128","203","267.0","2.00","1.55"
"Apr 2020 to Mar 2021 (Period 09)","Elizabeth line","13487","153","360","436.5","3.24","1.71"
"Apr 2020 to Mar 2021 (Period 10)","Elizabeth line","12826","139","87","156.5","1.22","1.67"
"Apr 2020 to Mar 2021 (Period 11)","Elizabeth line","13376","161","135","215.5","1.61","1.69"
"Apr 2020 to Mar 2021 (Period 12)","Elizabeth line","14867","248","273","397.0","2.67","1.73"
"Apr 2020 to Mar 2021 (Period 13)","Elizabeth line","12833","108","89","143.0","1.11","1.68"
"Apr 2021 to Mar 2022 (Period 01)","Elizabeth line","14804","254","222","349.0","2.36","1.80"
"Apr 2021 to Mar 2022 (Period 02)","Elizabeth line","14084","131","139","204.5","1.45","1.80"
"Apr 2021 to Mar 2022 (Period 03)","Elizabeth line","15004","212","265","371.0","2.47","1.85"
"Apr 2021 to Mar 2022 (Period 04)","Elizabeth line","15151","199","241","340.5","2.25","1.96"
"Apr 2021 to Mar 2022 (Period 05)","Elizabeth line","15141","182","162","253.0","1.67","1.94"
"Apr 2021 to Mar 2022 (Period 06)","Elizabeth line","14868","200","156","256.0","1.72","1.97"
"Apr 2021 to Mar 2022 (Period 07)","Elizabeth line","15054","186","176","269.0","1.79","1.98"
"Apr 2021 to Mar 2022 (Period 08)","Elizabeth line","15164","247","323","446.5","2.94","2.06"
"Apr 2021 to Mar 2022 (Period 09)","Elizabeth line","15077","307","268","421.5","2.80","2.03"
"Apr 2021 to Mar 2022 (Period 10)","Elizabeth line","13791","272","162","298.0","2.16","2.10"
"Apr 2021 to Mar 2022 (Period 11)","Elizabeth line","14941","218","162","271.0","1.81","2.11"
"Apr 2021 to Mar 2022 (Period 12)","Elizabeth line","13591","130","374","439.0","3.23","2.14"
"Apr 2021 to Mar 2022 (Period 13)","Elizabeth line","12522","225","170","282.5","2.26","2.22"
"Apr 2022 to Mar 2023 (Period 01)","Elizabeth line","16182","226","345","458.0","2.83","2.26"
"Apr 2022 to Mar 2023 (Period 02)","Elizabeth line","17125","182","153","244.0","1.42","2.25"
"Apr 2022 to Mar 2023 (Period 03)","Elizabeth line","22878","246","205","328.0","1.43","2.14"
"Apr 2022 to Mar 2023 (Period 04)","Elizabeth line","24519","288","234","378.0","1.54","2.06"
"Apr 2022 to Mar 2023 (Period 05)","Elizabeth line","22631","238","266","385.0","1.70","2.05"
"Apr 2022 to Mar 2023 (Period 06)","Elizabeth line","25118","297","396","544.5","2.17","2.08"
"Apr 2022 to Mar 2023 (Period 07)","Elizabeth line","23960","175","504","591.5","2.47","2.14"
"Apr 2022 to Mar 2023 (Period 08)","Elizabeth line","24255","343","416","587.5","2.42","2.12"
"Apr 2022 to Mar 2023 (Period 09)","Elizabeth line","24193","487","706","949.5","3.92","2.25"
"Apr 2022 to Mar 2023 (Period 10)","Elizabeth line","17535","123","251","312.5","1.78","2.22"
"Apr 2022 to Mar 2023 (Period 11)","Elizabeth line","23871","324","311","473.0","1.98","2.23"
"Apr 2022 to Mar 2023 (Period 12)","Elizabeth line","24106","341","617","787.5","3.27","2.27"
"Apr 2022 to Mar 2023 (Period 13)","Elizabeth line","22980","439","772","991.5","4.31","2.43"
"Apr 2023 to Mar 2024 (Period 01)","Elizabeth line","24509","521","668","928.5","3.79","2.52"
"Apr 2023 to Mar 2024 (Period 02)","Elizabeth line","25665","396","590","788.0","3.07","2.63"
"Apr 2023 to Mar 2024 (Period 03)","Elizabeth line","27709","464","922","1154.0","4.16","2.85"
"Apr 2023 to Mar 2024 (Period 04)","Elizabeth line","27968","393","764","960.5","3.43","3.01"
"Apr 2023 to Mar 2024 (Period 05)","Elizabeth line","27703","467","2307","2540.5","9.17","3.63"
"Apr 2023 to Mar 2024 (Period 06)","Elizabeth line","27780","460","976","1206.0","4.34","3.81"
"Apr 2023 to Mar 2024 (Period 07)","Elizabeth line","27357","358","374","553.0","2.02","3.76"
"Apr 2023 to Mar 2024 (Period 08)","Elizabeth line","27829","542","1026","1297.0","4.66","3.93"
"Apr 2023 to Mar 2024 (Period 09)","Elizabeth line","26797","656","1136","1464.0","5.46","4.06"
"Apr 2023 to Mar 2024 (Period 10)","Elizabeth line","24974","391","846","1041.5","4.17","4.18"
"Apr 2023 to Mar 2024 (Period 11)","Elizabeth line","26931","474","705","942.0","3.50","4.28"
"Apr 2023 to Mar 2024 (Period 12)","Elizabeth line","26932","440","517","737.0","2.74","4.23"
"Apr 2023 to Mar 2024 (Period 13)","Elizabeth line","26795","269","712","846.5","3.16","4.14"
"Apr 2024 to Mar 2025 (Period 01)","Elizabeth line","26295","232","298","414.0","1.57","3.98"
"Apr 2024 to Mar 2025 (Period 02)","Elizabeth line","27656","384","448","640.0","2.31","3.91"
"Apr 2024 to Mar 2025 (Period 03)","Elizabeth line","27033","358","867","1046.0","3.87","3.89"
"Apr 2024 to Mar 2025 (Period 04)","Elizabeth line","27951","563","911","1192.5","4.27","3.95"
"Apr 2024 to Mar 2025 (Period 05)","Elizabeth line","27964","816","1098","1506.0","5.39","3.66"
"Apr 2024 to Mar 2025 (Period 06)","Elizabeth line","27712","578","747","1036.0","3.74","3.61"
"Apr 2024 to Mar 2025 (Period 07)","Elizabeth line","27448","531","534","799.5","2.91","3.68"
"Apr 2024 to Mar 2025 (Period 08)","Elizabeth line","27528","282","299","440.0","1.60","3.44"
"Apr 2024 to Mar 2025 (Period 09)","Elizabeth line","26758","826","1567","1980.0","7.40","3.59"
"Apr 2024 to Mar 2025 (Period 10)","Elizabeth line","24352","337","352","520.5","2.14","3.44"
"Apr 2024 to Mar 2025 (Period 11)","Elizabeth line","27285","716","1887","2245.0","8.23","3.81"
"Apr 2024 to Mar 2025 (Period 12)","Elizabeth line","25750","521","873","1133.5","4.40","3.94"
"Apr 2024 to Mar 2025 (Period 13)","Elizabeth line","29499","642","515","836.0","2.83","3.90"
"Apr 2025 to Mar 2026 (Period 01)","Elizabeth line","25289","423","412","623.5","2.47","3.97"
"Apr 2025 to Mar 2026 (Period 02)","Elizabeth line","27526","477","556","794.5","2.89","4.02"
