line,from_id,to_id
central,940GZZLUNHT,940GZZLUGFD
central,940GZZLUGFD,940GZZLUPVL
central,940GZZLUPVL,940GZZLUHGR
central,940GZZLUHGR,940GZZLUNAN
central,940GZZLUWOF,940GZZLURVY
central,940GZZLURVY,940GZZLUCWL
central,940GZZLUCWL,940GZZLUGGH
central,940GZZLUGGH,940GZZLUHLT
circle,940GZZLUERC,940GZZLUPAC
circle,940GZZLUPAC,940GZZLUBWT
circle,940GZZLUBWT,940GZZLUNHG
circle,940GZZLUNHG,940GZZLUHSK
circle,940GZZLUHSK,940GZZLUGTR
circle,940GZZLUGTR,940GZZLUSKS
circle,940GZZLUSKS,940GZZLUSSQ
circle,940GZZLUSSQ,940GZZLUVIC
circle,940GZZLUVIC,940GZZLUSJP
circle,940GZZLUSJP,940GZZLUWSM
circle,940GZZLUWSM,940GZZLUEMB
circle,940GZZLUEMB,940GZZLUTMP
circle,940GZZLUTMP,940GZZLUBKF
circle,940GZZLUBKF,940GZZLUMSH
circle,940GZZLUMSH,940GZZLUCST
circle,940GZZLUCST,940GZZLUMMT
circle,940GZZLUMMT,940GZZLUTWH
circle,940GZZLUTWH,940GZZLUALD
circle,940GZZLUALD,940GZZLULVT
circle,940GZZLULVT,940GZZLUMGT
circle,940GZZLUMGT,940GZZLUBBN
circle,940GZZLUBBN,940GZZLUFCN
circle,940GZZLUFCN,940GZZLUKSX
circle,940GZZLUKSX,940GZZLUESQ
circle,940GZZLUESQ,940GZZLUGPS
circle,940GZZLUGPS,940GZZLUBST
circle,940GZZLUBST,940GZZLUERC
circle,940GZZLUERC,940GZZLUPAH
circle,940GZZLUPAH,940GZZLURYO
circle,940GZZLURYO,940GZZLUWSP
circle,940GZZLUWSP,940GZZLULAD
circle,940GZZLULAD,940GZZLULRD
circle,940GZZLULRD,940GZZLUWLA
circle,940GZZLUWLA,940GZZLUSBM
circle,940GZZLUSBM,940GZZLUGHK
circle,940GZZLUGHK,940GZZLUHSC
circle,940GZZLUHSC,940GZZLUGHK
circle,940GZZLUGHK,940GZZLUSBM
circle,940GZZLUSBM,940GZZLUWLA
circle,940GZZLUWLA,940GZZLULRD
circle,940GZZLULRD,940GZZLULAD
circle,940GZZLULAD,940GZZLUWSP
circle,940GZZLUWSP,940GZZLURYO
circle,940GZZLURYO,940GZZLUPAH
circle,940GZZLUPAH,940GZZLUERC
circle,940GZZLUERC,940GZZLUBST
circle,940GZZLUBST,940GZZLUGPS
circle,940GZZLUGPS,940GZZLUESQ
circle,940GZZLUESQ,940GZZLUKSX
circle,940GZZLUKSX,940GZZLUFCN
circle,940GZZLUFCN,940GZZLUBBN
circle,940GZZLUBBN,940GZZLUMGT
circle,940GZZLUMGT,940GZZLULVT
circle,940GZZLULVT,940GZZLUALD
circle,940GZZLUALD,940GZZLUTWH
circle,940GZZLUTWH,940GZZLUMMT
circle,940GZZLUMMT,940GZZLUCST
circle,940GZZLUCST,940GZZLUMSH
circle,940GZZLUMSH,940GZZLUBKF
circle,940GZZLUBKF,940GZZLUTMP
