station_id,station_name,lat,lon,zone
9400ZZLUSGP,Stonebridge Park Underground Station,51.543959,-0.275892,
9400ZZLUSGP1,Stonebridge Park Underground Station,51.543976,-0.275848,
9400ZZLUSGP2,Stonebridge Park Underground Station,51.543913,-0.275807,
9400ZZLUSGT,Southgate Underground Station,51.632315,-0.127816,
9400ZZLUSGT1,Southgate Underground Station,51.632179,-0.12772,
9400ZZLUSGT2,Southgate,51.632252,-0.127833,
9400ZZLUSHH,South Harrow Underground Station,51.564888,-0.352492,
9400ZZLUSHH1,South Harrow Underground Station,51.564526,-0.352332,
9400ZZLUSHH2,South Harrow Underground Station,51.564471,-0.352277,
9400ZZLUSJP,St. James's Park Underground Station,51.499544,-0.133608,
9400ZZLUSJP1,St. James's Park Underground Station,51.499377,-0.134421,
9400ZZLUSJP2,St. James's Park Underground Station,51.499343,-0.134509,
9400ZZLUSJW,St. John's Wood Underground Station,51.534521,-0.173948,
9400ZZLUSJW1,St. John's Wood Underground Station,51.534761,-0.174876,
9400ZZLUSJW2,St John's Wood Station,51.535025,-0.173957,
9400ZZLUSKS,South Kensington Underground Station,51.494094,-0.174138,
9400ZZLUSKS1,South Kensington Underground Station,51.494104,-0.173057,
9400ZZLUSKS2,South Kensington Underground Station,51.494019,-0.173363,
9400ZZLUSKS3,South Kensington Underground Station,51.494018,-0.173262,
9400ZZLUSKS4,South Kensington Underground Station,51.494102,-0.172913,
9400ZZLUSKT,South Kenton Underground Station,51.570232,-0.308433,
9400ZZLUSKT1,South Kenton Underground Station,51.570341,-0.308559,
9400ZZLUSKT2,South Kenton Station,51.570367,-0.308486,
9400ZZLUSKW,Stockwell Underground Station,51.472184,-0.122644,
9400ZZLUSKW1,Stockwell Underground Station,51.471829,-0.122917,
9400ZZLUSKW2,Stockwell Underground Station,51.471811,-0.122933,
9400ZZLUSKW3,Stockwell Underground Station,51.471935,-0.122783,
9400ZZLUSKW4,Stockwell Underground Station,51.4719,-0.122828,
9400ZZLUSNB,Snaresbrook Underground Station,51.580678,0.02144,
9400ZZLUSNB1,Snaresbrook Underground Station,51.580705,0.021441,
9400ZZLUSNB2,Snaresbrook Underground Station,51.580651,0.02141,
9400ZZLUSPU,St. Paul's Underground Station,51.514936,-0.097567,
9400ZZLUSPU1,St. Paul's Underground Station,51.515173,-0.098321,
9400ZZLUSPU2,St. Paul's Underground Station,51.515192,-0.098392,
9400ZZLUSRP,South Ruislip Underground Station,51.556853,-0.398915,
9400ZZLUSRP1,South Ruislip Underground Station,51.556967,-0.399373,
9400ZZLUSRP2,South Ruislip Station,51.556958,-0.399373,
9400ZZLUSSQ,Sloane Square Underground Station,51.49227,-0.156377,
9400ZZLUSSQ1,Sloane Square Underground Station,51.492338,-0.156144,
9400ZZLUSSQ2,Sloane Square Underground Station,51.492309,-0.15603,
9400ZZLUSTD,Stratford Underground Station,51.541806,-0.003458,
9400ZZLUSTD1,Stratford Underground Station,51.542326,-0.002311,
9400ZZLUSTD2,Stratford Underground Station,51.542328,-0.002426,
