station_removed,num_components,largest_component_size,avg_shortest_path,components_norm,largest_component_loss,largest_component_loss_norm,avg_shortest_path_norm,failure_impact_score,station_display,station,degree_centrality,betweenness_centrality,closeness_centrality,betweenness_norm,degree_norm,closeness_norm,propagation_risk_score
archway,2,263,13.757350593562244,0.5,8,0.3636363636363636,0.1170715671928184,0.3442123792487546,Archway,archway,0.007380073800738,0.0575099084324176,0.075319622012229,0.16228275191155295,0.16666666666666669,0.4449593360274674,0.2177384230637362
kensal green,2,263,13.657765651757469,0.5,8,0.3636363636363636,0.0912909379157723,0.3364781904656407,Kensal Green,kensal green,0.007380073800738,0.0575099084324176,0.0701164294954721,0.16228275191155295,0.16666666666666669,0.37758723236713576,0.21541816642880202
northwood,2,263,13.626476649348389,0.5,8,0.3636363636363636,0.083190815980285,0.3340481538849946,Northwood,northwood,0.007380073800738,0.0575099084324176,0.0630672562252734,0.16228275191155295,0.16666666666666669,0.2863129559012944,0.2146891554546082
boston manor,2,263,13.546686790700374,0.5,8,0.3636363636363636,0.0625347536420161,0.3278513351835139,Boston Manor,boston manor,0.007380073800738,0.0575099084324176,0.062327506899724,0.16228275191155295,0.16666666666666669,0.2767345157257542,0.21283010984416398
barking,2,263,13.488491568223376,0.5,8,0.3636363636363636,0.0474691279642322,0.3233316474801787,Barking,barking,0.007380073800738,0.0575099084324176,0.0600487480611566,0.16228275191155295,0.16666666666666669,0.24722863521212085,0.21147420353316343
royal oak,2,264,13.923839151976036,0.5,7,0.3181818181818182,0.1601722581763012,0.3435062229074358,Royal Oak,royal oak,0.007380073800738,0.0505125051250512,0.0904539385847797,0.1425373220211739,0.16666666666666669,0.6409218612791157,0.20765386121615104
west brompton,2,264,13.88305104274686,0.5,7,0.3181818181818182,0.1496129998798971,0.3403384454185146,West Brompton,west brompton,0.007380073800738,0.0505125051250512,0.0854081311062086,0.1425373220211739,0.16666666666666669,0.5755876143909658,0.20670352796947467
manor house,2,264,13.85516764604217,0.5,7,0.3181818181818182,0.142394523869361,0.3381729026153537,Manor House,manor house,0.007380073800738,0.0505125051250512,0.0822707953855494,0.1425373220211739,0.16666666666666669,0.5349646878494632,0.20605386512852641
belsize park,2,264,13.841802050927528,0.5,7,0.3181818181818182,0.1389344279304265,0.3371348738336734,Belsize Park,belsize park,0.007380073800738,0.0505125051250512,0.0808472553699284,0.1425373220211739,0.16666666666666669,0.5165323724607512,0.20574245649402229
clapham common,2,264,13.815531743288398,0.5,7,0.3181818181818182,0.132133549705624,0.3350946103662326,Clapham Common,clapham common,0.007380073800738,0.0505125051250512,0.0781881130986728,0.1425373220211739,0.16666666666666669,0.48210120194963857,0.20513037745379006
highgate,2,264,13.755847447862656,0.5,7,0.3181818181818182,0.1166824316334845,0.3304592749445908,Highgate,highgate,0.007380073800738,0.0505125051250512,0.070316554229372,0.1425373220211739,0.16666666666666669,0.38017849230492945,0.20373977682729755
willesden junction,2,264,13.664592695010946,0.5,7,0.3181818181818182,0.0930583283262756,0.3233720439524281,Willesden Junction,willesden junction,0.007380073800738,0.0505125051250512,0.0657607376850279,0.1425373220211739,0.16666666666666669,0.3211887579265608,0.2016136075296487
osterley,2,264,13.568325843991245,0.5,7,0.3181818181818182,0.0681366890419662,0.3158955521671353,Osterley,osterley,0.007380073800738,0.0505125051250512,0.0588618592528236,0.1425373220211739,0.16666666666666669,0.2318605327306584,0.19937065999406087
upney,2,264,13.515266735799056,0.5,7,0.3181818181818182,0.0544007047326612,0.3117747568743438,Upney,upney,0.007380073800738,0.0505125051250512,0.0568253302579157,0.1425373220211739,0.16666666666666669,0.2054910985591693,0.19813442140622342
sloane square,1,271,14.03463167965013,0.0,0,0.0,0.1888543162351603,0.0566562948705481,Sloane Square,sloane square,0.007380073800738,0.1014938900711757,0.1045121480910142,0.286397739657584,0.16666666666666669,0.8229507108906671,0.1935290916232898
westbourne park,2,265,13.90360205831904,0.5,6,0.2727272727272727,0.1549332632061718,0.3282981607800334,Westbourne Park,westbourne park,0.007380073800738,0.043460434604346,0.0832821143208358,0.12263763095977624,0.16666666666666669,0.5480594722385365,0.19314159704723147
fulham broadway,2,265,13.86818181818182,0.5,6,0.2727272727272727,0.1457636431478325,0.3255472747625315,Fulham Broadway,fulham broadway,0.007380073800738,0.043460434604346,0.0789857184494316,0.12263763095977624,0.16666666666666669,0.49242877491533205,0.1923163312419809
turnpike lane,2,265,13.84396798170383,0.5,6,0.2727272727272727,0.1394951458198148,0.3236667255641262,Turnpike Lane,turnpike lane,0.007380073800738,0.043460434604346,0.076295045045045,0.12263763095977624,0.16666666666666669,0.45758933222074977,0.1917521664824593
hampstead,2,265,13.83236134934248,0.5,6,0.2727272727272727,0.1364904115634097,0.3227653052872047,Hampstead,hampstead,0.007380073800738,0.043460434604346,0.0750692520775623,0.12263763095977624,0.16666666666666669,0.44171748996133176,0.19148174039938287
clapham south,2,265,13.809548313321898,0.5,6,0.2727272727272727,0.1305845545766826,0.3209935481911866,Clapham South,clapham south,0.007380073800738,0.043460434604346,0.0727712137486573,0.12263763095977624,0.16666666666666669,0.41196197428287223,0.19095021327057743
east finchley,2,265,13.76152086906804,0.5,6,0.2727272727272727,0.1181511714467311,0.3172635332522011,East Finchley,east finchley,0.007380073800738,0.043460434604346,0.0659046692607003,0.12263763095977624,0.16666666666666669,0.3230524162488248,0.18983120878888177
hanger lane,2,265,13.749514008004574,0.5,6,0.2727272727272727,0.115042825664243,0.3163310295174547,Hanger Lane,hanger lane,0.007380073800738,0.043460434604346,0.0673459244532803,0.12263763095977624,0.16666666666666669,0.34171411172189825,0.18955145766845785
