Line,Actual KMs Total
Northern,1111561.0703125
Central,929837.8125
Piccadilly,855532.6953125
Jubilee,764819.703125
District,717413.484375
Metropolitan,586840.5078125
Victoria,558696.53125
C&H,284102.78125
Bakerloo,250281.2109375
Waterloo & City,23578.646017699117
