station_removed,num_components,largest_component_size,avg_shortest_path,components_norm,largest_component_loss,largest_component_loss_norm,avg_shortest_path_norm,failure_impact_score,station_display
south woodford,1,271,14.370971709717097,0.0,0,0.0,0.27592629186763634,0.0827778875602909,South Woodford
holland park,1,271,14.289052890528906,0.0,0,0.0,0.2547190825242371,0.07641572475727113,Holland Park
south kensington,1,271,14.26560065600656,0.0,0,0.0,0.2486477493188194,0.07459432479564582,South Kensington
bond street,1,271,14.263468634686348,0.0,0,0.0,0.24809580993650882,0.07442874298095264,Bond Street
gloucester road,1,271,14.263031296979637,0.0,0,0.0,0.24798259160167585,0.07439477748050276,Gloucester Road
shepherds bush (central),1,271,14.229000956676233,0.0,0,0.0,0.2391727899224855,0.07175183697674564,Shepherds Bush (Central)
ealing common,1,271,14.225228918955857,0.0,0,0.0,0.23819628178455154,0.07145888453536546,Ealing Common
white city,1,271,14.182998496651633,0.0,0,0.0,0.22726363632724336,0.068179090898173,White City
bayswater,1,271,14.18135848025147,0.0,0,0.0,0.22683906757161998,0.068051720271486,Bayswater
highbury and islington,1,271,14.170671040043734,0.0,0,0.0,0.22407229451413932,0.06722168835424179,Highbury And Islington
wanstead,1,271,14.16673500068334,0.0,0,0.0,0.22305332950064266,0.0669159988501928,Wanstead
moorgate,1,271,14.152357523575235,0.0,0,0.0,0.2193312767430087,0.06579938302290261,Moorgate
east acton,1,271,14.151045510455104,0.0,0,0.0,0.2189916217385098,0.06569748652155294,East Acton
south harrow,1,271,14.150444171108377,0.0,0,0.0,0.21883594652811458,0.06565078395843438,South Harrow
oxford circus,1,271,14.147710810441438,0.0,0,0.0,0.21812833193540881,0.06543849958062264,Oxford Circus
north ealing,1,271,14.141560748940822,0.0,0,0.0,0.21653619910182,0.064960859730546,North Ealing
victoria,1,271,14.137242039087058,0.0,0,0.0,0.2154181680453446,0.06462545041360337,Victoria
high street kensington,1,271,14.136039360393603,0.0,0,0.0,0.21510681762455375,0.06453204528736613,High Street Kensington
sudbury hill,1,271,14.1216618832855,0.0,0,0.0,0.21138476486692023,0.06341542946007607,Sudbury Hill
warren street,1,271,14.116550498838322,0.0,0,0.0,0.21006152557856006,0.06301845767356802,Warren Street
park royal,1,271,14.116331829984967,0.0,0,0.0,0.21000491641114358,0.06300147492334307,Park Royal
london bridge,1,271,14.111849118491184,0.0,0,0.0,0.20884442847910548,0.06265332854373164,London Bridge
embankment,1,271,14.107694410277436,0.0,0,0.0,0.20776885429819233,0.0623306562894577,Embankment
sudbury town,1,271,14.106382397157304,0.0,0,0.0,0.20742919929369347,0.06222875978810804,Sudbury Town
alperton,1,271,14.104605712723794,0.0,0,0.0,0.20696924980843473,0.062090774942530416,Alperton
great portland street,1,271,14.103102364356976,0.0,0,0.0,0.20658006178244623,0.06197401853473387,Great Portland Street
euston square,1,271,14.095093617602842,0.0,0,0.0,0.20450675102581756,0.061352025307745264,Euston Square
redbridge,1,271,14.089982233155665,0.0,0,0.0,0.20318351173745738,0.060955053521237215,Redbridge
pimlico,1,271,14.089244225775591,0.0,0,0.0,0.2029924557974268,0.06089773673922804,Pimlico
marble arch,1,271,14.068990023233566,0.0,0,0.0,0.19774903166547522,0.05932470949964257,Marble Arch
vauxhall,1,271,14.068908022413558,0.0,0,0.0,0.1977278032276941,0.05931834096830822,Vauxhall
oval,1,271,14.054147874812081,0.0,0,0.0,0.1939066844270814,0.058172005328124415,Oval
bermondsey,1,271,14.052589859231926,0.0,0,0.0,0.19350334410923914,0.058051003232771736,Bermondsey
temple,1,271,14.048353150198169,0.0,0,0.0,0.19240654149054487,0.05772196244716346,Temple
lancaster gate,1,271,14.047232472324723,0.0,0,0.0,0.19211641950753514,0.057634925852260536,Lancaster Gate
queensway,1,271,14.039852398523985,0.0,0,0.0,0.190205860107229,0.0570617580321687,Queensway
sloane square,1,271,14.03463167965013,0.0,0,0.0,0.18885431623516036,0.0566562948705481,Sloane Square
ealing broadway,1,271,14.031761650949843,0.0,0,0.0,0.1881113209128192,0.05643339627384576,Ealing Broadway
gants hill,1,271,14.0273336066694,0.0,0,0.0,0.18696498527263536,0.056089495581790605,Gants Hill
west acton,1,271,14.027306273062731,0.0,0,0.0,0.18695790912670848,0.05608737273801254,West Acton
holborn,1,271,14.017165504988384,0.0,0,0.0,0.18433265898776924,0.05529979769633077,Holborn
canada water,1,271,14.012655459887933,0.0,0,0.0,0.18316509490980426,0.054949528472941274,Canada Water
blackfriars,1,271,14.009402760694273,0.0,0,0.0,0.18232303354448393,0.05469691006334518,Blackfriars
tottenham court road,1,271,14.008391417247505,0.0,0,0.0,0.18206121614518264,0.05461836484355479,Tottenham Court Road
