Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date,Line,Line_clean
2016-17,6,Line Operations - District Line,Excess Journey Time - Trains,2.7,2.91,District,district
2016-17,6,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.35,1.31,Jubilee,jubilee
2016-17,6,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.11,2.06,Metropolitan,metropolitan
2016-17,6,Line Operations - Northern Line,Excess Journey Time - Trains,1.23,1.51,Northern,northern
2016-17,6,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.32,2.1,Piccadilly,piccadilly
2016-17,6,Line Operations - Victoria Line,Excess Journey Time - Trains,0.84,0.88,Victoria,victoria
2016-17,6,London Underground Network,Excess Journey Time - Total,4.13,4.21,London Underground Network,london underground network
2016-17,7,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.07,1.64,Bakerloo,bakerloo
2016-17,7,Line Operations - Central Line,Excess Journey Time - Trains,2.96,2.69,Central,central
2016-17,7,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.53,3.68,Circle and Hammersmith,circle and hammersmith
2016-17,7,Line Operations - District Line,Excess Journey Time - Trains,3.65,3.02,District,district
2016-17,7,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.26,1.31,Jubilee,jubilee
2016-17,7,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.24,2.09,Metropolitan,metropolitan
2016-17,7,Line Operations - Northern Line,Excess Journey Time - Trains,1.46,1.5,Northern,northern
2016-17,7,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.04,2.23,Piccadilly,piccadilly
2016-17,7,Line Operations - Victoria Line,Excess Journey Time - Trains,1.08,0.91,Victoria,victoria
2016-17,7,London Underground Network,Excess Journey Time - Total,4.69,4.28,London Underground Network,london underground network
2016-17,8,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.0,1.68,Bakerloo,bakerloo
2016-17,8,Line Operations - Central Line,Excess Journey Time - Trains,3.07,2.74,Central,central
2016-17,8,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.28,3.76,Circle and Hammersmith,circle and hammersmith
2016-17,8,Line Operations - District Line,Excess Journey Time - Trains,3.95,3.13,District,district
2016-17,8,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.34,1.31,Jubilee,jubilee
2016-17,8,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.55,2.15,Metropolitan,metropolitan
2016-17,8,Line Operations - Northern Line,Excess Journey Time - Trains,1.38,1.48,Northern,northern
2016-17,8,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.4,2.38,Piccadilly,piccadilly
2016-17,8,Line Operations - Victoria Line,Excess Journey Time - Trains,1.32,0.96,Victoria,victoria
2016-17,8,London Underground Network,Excess Journey Time - Total,4.99,4.37,London Underground Network,london underground network
2016-17,9,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.97,1.72,Bakerloo,bakerloo
2016-17,9,Line Operations - Central Line,Excess Journey Time - Trains,3.93,2.87,Central,central
2016-17,9,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.58,3.85,Circle and Hammersmith,circle and hammersmith
2016-17,9,Line Operations - District Line,Excess Journey Time - Trains,4.18,3.25,District,district
2016-17,9,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.63,1.35,Jubilee,jubilee
2016-17,9,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.71,2.21,Metropolitan,metropolitan
2016-17,9,Line Operations - Northern Line,Excess Journey Time - Trains,2.34,1.58,Northern,northern
2016-17,9,Line Operations - Piccadilly Line,Excess Journey Time - Trains,8.05,3.01,Piccadilly,piccadilly
2016-17,9,Line Operations - Victoria Line,Excess Journey Time - Trains,1.61,1.03,Victoria,victoria
2016-17,9,London Underground Network,Excess Journey Time - Total,6.56,4.61,London Underground Network,london underground network
2016-17,10,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.15,1.66,Bakerloo,bakerloo
