Line,Service Operated for Period - All Week
Metropolitan,86.93431372549018
Piccadilly,88.06078431372549
Central,88.45294117647059
Circle Hammersmith & City,88.91274509803922
Jubilee,89.62450980392157
Network,90.61176470588235
Bakerloo,90.70980392156862
Victoria,90.73235294117647
District,92.55
Northern,94.28039215686275
