Line,EJT for Period
London Underground Network,4.68921568627451
Circle and Hammersmith,3.5131372549019604
District,3.4047058823529412
Piccadilly,3.1707843137254903
Central,2.9805882352941175
Metropolitan,2.364117647058823
Bakerloo,1.8239215686274508
Jubilee,1.475686274509804
Northern,1.4531372549019608
Victoria,1.289019607843137
